raman_shift_cm-1,intensity_au
50,14.0663890839
51.7495384216,15.9624547958
53.499080658,18.7915763855
55.2486190796,18.5605010986
56.9981575012,22.2240390778
58.7476997375,20.6683635712
60.4972381592,34.8910102844
62.2467765808,61.8026504517
63.9963150024,97.9758834839
65.7458572388,134.81362915
67.4953994751,158.655532837
69.244934082,176.721710205
70.9944763184,183.796325684
72.7440109253,180.149002075
74.4935531616,178.246231079
76.2430953979,166.481521606
77.9926300049,164.950622559
79.7421722412,152.324172974
81.4917144775,155.126754761
83.2412490845,146.81628418
84.9907913208,117.815818787
86.7403335571,100.66746521
88.4898681641,75.0238342285
90.2394104004,56.4842720032
91.9889526367,45.1646995544
93.7384872437,54.3152618408
95.48802948,51.3414154053
97.2375717163,50.5623474121
98.9871063232,52.3227882385
100.73664856,54.2302207947
102.486190796,53.8611984253
104.235725403,53.261631012
105.985267639,53.2613258362
107.734809875,54.2965049744
109.484344482,57.5468788147
111.233886719,62.7294654846
112.983428955,63.5518951416
114.732963562,52.7482185364
116.482505798,52.6198692322
118.232040405,54.9187431335
119.981582642,55.5079727173
121.731124878,62.9999961853
123.480659485,63.0451469421
125.230201721,64.4800567627
126.979743958,66.8587493896
128.729278564,59.8046264648
130.478820801,64.5669631958
132.228363037,58.989730835
133.977905273,57.1143531799
135.72744751,56.635509491
137.476974487,62.3314094543
139.226516724,63.0688323975
140.97605896,66.5145874023
142.725601196,69.5
144.475143433,72.6135940552
146.22467041,76.2157058716
147.974212646,78.5241394043
149.723754883,80.6972961426
151.473297119,80.823059082
153.222839355,78.9331741333
154.972381592,75.7730255127
156.721908569,80.686668396
158.471450806,96.9923171997
160.220993042,109.322952271
161.970535278,120.566719055
163.720077515,130.639022827
165.469619751,151.953277588
167.219146729,164.925750732
168.968688965,159.266387939
170.718231201,180.088241577
172.467773438,198.24937439
174.217315674,300.761505127
175.96685791,529.369750977
177.716384888,904.101501465
179.465927124,1393.73730469
181.21546936,1891.6270752
182.965011597,2338.50976563
184.714553833,2653.04663086
186.464080811,2843.18261719
188.213623047,2914.38452148
189.963165283,2845.99926758
191.71270752,2632.55273438
193.462249756,2331.99853516
195.211791992,1993.4041748
196.96131897,1619.49511719
198.710861206,1258.24157715
200.460403442,915.344665527
202.209945679,614.462341309
203.959487915,414.816009521
205.709030151,353.438659668
207.458557129,343.711364746
209.208099365,340.849395752
210.957641602,333.037872314
212.707183838,352.121917725
214.456726074,354.971008301
216.206268311,350.618988037
217.955795288,358.957794189
219.705337524,345.002349854
221.454879761,327.356292725
223.204421997,293.52456665
224.953964233,290.321838379
226.70350647,243.054260254
228.453033447,237.146331787
230.202575684,230.795822144
231.95211792,211.780502319
233.701660156,205.466903687
235.451202393,191.297836304
237.20072937,167.481018066
238.950.271.606,16
240.699.813.843,16
242.449356079,148.235458374
244.198.898.315,14
245.948440552,142.191192627
247.697967529,141.960342407
249.447509766,135.364196777
251.197052002,139.342102051
252.946594238,146.457183838
254.696136475,148.736495972
256.445678711,151.020187378
258.195220947,145.305541992
259.944763184,136.341552734
261.69430542,138.738098145
263.443817139,132.321594238
265.193359375,134.649749756
266.942901611,136.072158813
268.692443848,136.694747925
270.441986084,129.93132019
272.19152832,125.553001404
273.941070557,117.818145752
275.690612793,136.148422241
277.440155029,142.935089111
279.189697266,126.808158875
280.939239502,164.508956909
282.688751221,201.617980957
284.438293457,263.093841553
286.187835693,342.98425293
287.93737793,432.631774902
289.686920166,498.982574463
291.436462402,570.663513184
293.186004639,623.753601074
294.935546875,656.976806641
296.685089111,634.106933594
298.434631348,586.20324707
300.184173584,538.807312012
301.93371582,497.153076172
303.683227539,431.935455322
305.432769775,352.329345703
307.182312012,274.104370117
