ev,eps1
1.5,6.7634
1.55,6.8215
1.6,6.8795
1.65,6.9375
1.7,6.9956
1.75,7.0536
1.8,7.1117
1.85,7.1697
1.9,7.2278
1.95,7.2858
2.0,7.3493
2.05,7.4031
2.1,7.5094
2.15,7.6428
2.2,7.7571
2.25,7.8171
2.3,7.7786
2.35,7.7099
2.4,7.7261
2.45,7.8199
2.5,7.9459
2.55,8.0156
2.6,8.0852
2.65,8.1549
2.7,8.2245
2.75,8.2942
2.8,8.3638
2.85,8.4334
2.9,8.5031
2.95,8.5727
3.0,8.6734
3.05,8.8442
3.1,9.0437
3.15,9.1795
3.2,9.3744
3.25,9.5613
3.3,9.6758
3.35,9.9311
3.4,10.12
3.45,10.455
3.5,10.788
3.55,11.073
3.6,11.472
3.65,11.867
3.7,12.318
3.75,12.764
3.8,13.066
3.85,12.885
3.9,11.784
3.95,10.292
4.0,9.341
4.05,9.1656
4.1,9.1977
4.15,9.1718
4.2,9.069
4.25,9.1283
4.3,9.1988
4.35,9.1076
4.4,9.0132
4.45,8.8324
4.5,8.849
4.55,8.8016
4.6,8.8004
4.65,8.8497
4.7,8.6996
4.75,8.6353
4.8,8.64
4.85,8.4876
4.9,8.68
4.95,8.6373
5.0,8.8436
